Date,Year,Quarter,Weather_Index,Wind_Speed,Wind_Direction,Temperature,Class
2017-02-22 00:00:00,2017,Q1,1,1.78816,247.5,48.5,A
2017-02-23 00:00:00,2017,Q1,2,2.2352,45,43,A
2017-03-04 00:00:00,2017,Q1,3,2.68224,135,51.5,A
2017-05-17 00:00:00,2017,Q2,1,0.44704,45,62.5,A
2017-05-18 00:00:00,2017,Q2,2,2.2352,45,69,A
2017-05-25 00:00:00,2017,Q2,3,3.57632,202.5,68,B
2017-06-02 00:00:00,2017,Q2,4,2.68224,270,88,A
2017-06-16 00:00:00,2017,Q2,5,2.2352,151.67,69.5,A
2017-08-14 00:00:00,2017,Q3,1,2.68224,202.5,73,C
2017-08-15 00:00:00,2017,Q3,2,3.57632,225,68.5,B
2017-08-16 00:00:00,2017,Q3,3,1.78816,247.5,73,A
2017-08-23 00:00:00,2017,Q3,4,1.78816,180,70,A
2017-09-15 00:00:00,2017,Q3,5,0.89408,135,79.5,A
2017-10-10 00:00:00,2017,Q4,1,1.34112,90,64,B
2017-10-24 00:00:00,2017,Q4,2,1.34112,72,69,A
2017-10-25 00:00:00,2017,Q4,3,1.34112,72,77,A
2017-10-26 00:00:00,2017,Q4,4,1.34112,72,70,A
2017-11-02 00:00:00,2017,Q4,5,1.34112,180,59,B
2017-11-10 00:00:00,2017,Q4,6,1.34112,90,59,B
2017-11-22 00:00:00,2017,Q4,7,1.78816,72,57.5,A
2018-02-12 00:00:00,2018,Q1,1,1.34112,270,48.5,B
2018-02-13 00:00:00,2018,Q1,2,1.78816,270,50.5,A
2018-02-14 00:00:00,2018,Q1,3,1.34112,90,48.5,A
2018-02-23 00:00:00,2018,Q1,4,2.2352,270,42.2,A
2018-03-05 00:00:00,2018,Q1,5,1.78816,270,48.67,A
2018-05-21 00:00:00,2018,Q2,1,0.89408,270,59.7,A
2018-05-22 00:00:00,2018,Q2,2,1.78816,187.5,64.5,A
2018-05-23 00:00:00,2018,Q2,3,2.68224,157.5,63,A
2018-05-24 00:00:00,2018,Q2,4,1.34112,135,65,A
2018-05-31 00:00:00,2018,Q2,5,4.02336,315,58,C
2018-06-07 00:00:00,2018,Q2,6,2.68224,247.5,69.6,A
2018-09-06 00:00:00,2018,Q3,1,2.68224,202.5,68.5,A
2018-09-07 00:00:00,2018,Q3,2,2.2352,202.5,70.8,A
2018-09-10 00:00:00,2018,Q3,3,2.2352,202.5,71.5,A
2018-09-11 00:00:00,2018,Q3,4,2.68224,45,71.5,A
2018-09-12 00:00:00,2018,Q3,5,3.12928,22.5,63.5,C
2018-09-14 00:00:00,2018,Q3,6,1.78816,315,55.5,B
2018-09-24 00:00:00,2018,Q3,7,1.78816,112.5,72,A
2018-10-01 00:00:00,2018,Q3,8,1.78816,225,67.6,A
2018-12-10 00:00:00,2018,Q4,1,0.89408,180,50.5,A
2018-12-11 00:00:00,2018,Q4,2,1.34112,168.8,46.5,A
2018-12-12 00:00:00,2018,Q4,3,5.36448,337.5,45.3,C
2018-12-13 00:00:00,2018,Q4,4,1.78816,225,45.1,A
2018-12-20 00:00:00,2018,Q4,5,1.34112,337.5,48.33,A
2018-12-21 00:00:00,2018,Q4,6,1.78816,258.8,52.6,B
2018-12-28 00:00:00,2018,Q4,7,1.34112,337.5,43.8,A
2018-12-31 00:00:00,2018,Q4,8,10.72896,337.5,41.3,C
2019-03-04 00:00:00,2019,Q1,1,0.44704,112.5,49.8,B
2019-03-07 00:00:00,2019,Q1,2,1.34112,270,40.67,A
2019-03-08 00:00:00,2019,Q1,3,1.34112,270,45.6,B
2019-03-09 00:00:00,2019,Q1,4,1.34112,146.3,42.7,B
2019-03-12 00:00:00,2019,Q1,5,1.34112,202.5,45.1,A
2019-03-22 00:00:00,2019,Q1,6,1.78816,315,47,A
2019-05-29 00:00:00,2019,Q2,1,1.78816,157.5,69,A
2019-05-30 00:00:00,2019,Q2,2,2.68224,247.5,72,A
2019-06-07 00:00:00,2019,Q2,3,2.2352,225,57,A
2019-08-27 00:00:00,2019,Q3,1,2.2352,202.5,83.5,A
2019-08-28 00:00:00,2019,Q3,2,3.12928,191.3,77,B
2019-08-29 00:00:00,2019,Q3,3,3.57632,213.8,81,B
2019-12-12 00:00:00,2019,Q4,1,1.78816,180,63,B
2019-12-13 00:00:00,2019,Q4,2,1.78816,180,57,B
2019-12-16 00:00:00,2019,Q4,3,0.89408,168.8,43.5,A
2019-12-23 00:00:00,2019,Q4,4,1.78816,90,53.5,B
2019-12-27 00:00:00,2019,Q4,5,1.78816,213.8,44,A
2019-12-31 00:00:00,2019,Q4,6,6.26056,337.5,41.6,C
2020-01-06 00:00:00,2020,Q1,1,1.34112,270,42.5,A
2020-01-15 00:00:00,2020,Q1,2,0.89408,270,42,A
2020-03-11 00:00:00,2020,Q1,3,1.78816,315,57.83,A
2020-03-12 00:00:00,2020,Q1,4,2.2352,303.8,58.5,A
2020-03-20 00:00:00,2020,Q1,5,2.2352,180,69.5,C
2020-03-30 00:00:00,2020,Q1,6,1.78816,315,68.5,A
2020-04-09 00:00:00,2020,Q1,7,1.78816,292.5,56.4,A
2020-05-26 00:00:00,2020,Q2,1,1.78816,258.8,80.5,A
2020-05-27 00:00:00,2020,Q2,2,1.34112,225,85,A
2020-05-28 00:00:00,2020,Q2,3,2.2352,191.3,82.5,A
2020-06-05 00:00:00,2020,Q2,4,2.68224,111.43,74.5,A
2020-06-15 00:00:00,2020,Q2,5,2.2352,111.43,77,A
2020-06-19 00:00:00,2020,Q2,6,2.2352,111.43,79,A
2020-06-25 00:00:00,2020,Q2,7,1.78816,135,77.5,A
2020-09-02 00:00:00,2020,Q3,1,3.12928,180,69,B
2020-09-03 00:00:00,2020,Q3,2,2.68224,202.5,75,A
2020-09-04 00:00:00,2020,Q3,3,1.78816,202.5,46.5,A
2020-09-11 00:00:00,2020,Q3,4,2.2352,292.5,75.17,A
2020-09-21 00:00:00,2020,Q3,5,1.78816,292.5,73,A
2020-11-16 00:00:00,2020,Q4,1,1.34112,90,58,A
2020-11-30 00:00:00,2020,Q4,2,1.78816,45,54.5,A
2020-12-01 00:00:00,2020,Q4,3,0.44704,157.5,50,A
2020-12-09 00:00:00,2020,Q4,4,1.34112,180,50,A
2020-12-10 00:00:00,2020,Q4,5,0.89408,180,50.5,A
2020-12-18 00:00:00,2020,Q4,6,1.34112,348.75,45.5,A
2020-12-19 00:00:00,2020,Q4,7,1.34112,348.75,45.5,A
2021-02-23 00:00:00,2021,Q1,1,0.89408,135,44,A
2021-02-24 00:00:00,2021,Q1,2,4.91744,180,52.5,B
2021-05-19 00:00:00,2021,Q2,1,3.12928,135,62.5,B
2021-05-20 00:00:00,2021,Q2,2,2.68224,202.5,57.5,A
2021-05-21 00:00:00,2021,Q2,3,4.02336,292.5,62.5,B
2021-05-27 00:00:00,2021,Q2,4,0.89408,270,84.33,A
2021-05-28 00:00:00,2021,Q2,5,0.89408,270,89.5,A
2021-06-04 00:00:00,2021,Q2,6,4.4704,45,90,B
2021-06-07 00:00:00,2021,Q2,7,5.81152,159.06,83,C
2021-06-14 00:00:00,2021,Q2,8,4.91744,247.5,86,B
2021-09-20 00:00:00,2021,Q3,1,2.2352,180,70,A
2021-09-21 00:00:00,2021,Q3,2,2.2352,180,72.5,A
2021-09-22 00:00:00,2021,Q3,3,1.78816,146.3,78,A
2021-09-23 00:00:00,2021,Q3,4,3.12928,292.5,77.5,B
2021-10-11 00:00:00,2021,Q3,5,1.78816,292.5,73,A
2021-10-01 00:00:00,2021,Q4,1,3.57632,270,70.5,C
2021-11-30 00:00:00,2021,Q4,2,0.89408,292.5,58.5,A
2021-12-01 00:00:00,2021,Q4,3,0.44704,213.8,54,B
2021-12-21 00:00:00,2021,Q4,4,1.34112,348.75,45.5,A
2021-12-30 00:00:00,2021,Q4,5,6.26056,337.5,41.6,C
2022-01-06 00:00:00,2021,Q4,6,1.34112,348.75,45.5,A
2022-03-01 00:00:00,2022,Q1,1,1.34112,90,48,A
2022-03-02 00:00:00,2022,Q1,2,0.89408,315,45,A
2022-03-03 00:00:00,2022,Q1,3,1.34112,315,42.5,A
2022-03-11 00:00:00,2022,Q1,4,0.89408,315,41,A
2022-03-21 00:00:00,2022,Q1,5,0.89408,90,46,A
2022-06-01 00:00:00,2022,Q2,1,0.44704,225,55,A
2022-06-02 00:00:00,2022,Q2,2,3.12928,315,64,B
2022-06-03 00:00:00,2022,Q2,3,0.89408,337.5,57,A
2022-06-30 00:00:00,2022,Q2,4,1.34112,270,58,A
2022-09-06 00:00:00,2022,Q3,1,1.78816,292.5,76.67,A
2022-09-07 00:00:00,2022,Q3,2,1.34112,90,71.5,A
2022-09-08 00:00:00,2022,Q3,3,0.44704,90,72,A
2022-09-16 00:00:00,2022,Q3,4,1.78816,292.5,73,A
2022-09-26 00:00:00,2022,Q3,5,1.78816,315,70,A
2022-11-03 00:00:00,2022,Q4,1,0.89408,135,39,A
2022-11-04 00:00:00,2022,Q4,2,0.89408,180,50.5,A
2022-11-11 00:00:00,2022,Q4,3,1.34112,348.75,45.5,A
2022-11-21 00:00:00,2022,Q4,4,1.34112,348.75,45.5,A
2023-03-07 00:00:00,2023,Q1,1,2.2352,180,36,A
2023-03-16 00:00:00,2023,Q1,2,1.34112,270,38,A
2023-03-24 00:00:00,2023,Q1,3,0.89408,337.5,39,A
2023-05-08 00:00:00,2023,Q2,1,2.2352,270,48,C
2023-05-09 00:00:00,2023,Q2,2,1.78816,292.5,62.5,A
2023-05-10 00:00:00,2023,Q2,3,2.68224,292.5,66.17,A
2023-05-18 00:00:00,2023,Q2,4,3.12928,292.5,75.17,B
2023-05-28 00:00:00,2023,Q2,5,1.78816,247.5,73.5,A
2023-06-07 00:00:00,2023,Q2,6,3.12928,180,81,C
2023-08-15 00:00:00,2023,Q3,1,1.34112,45,69,A
2023-08-16 00:00:00,2023,Q3,2,1.78816,135,61,A
2023-08-17 00:00:00,2023,Q3,3,2.2352,292.5,75.17,A
2023-08-18 00:00:00,2023,Q3,4,3.12928,0,64,C
2023-08-24 00:00:00,2023,Q3,5,1.78816,292.5,75.17,A
2023-08-25 00:00:00,2023,Q3,6,1.78816,292.5,73,A
2023-09-04 00:00:00,2023,Q3,7,1.34112,315,65,A
2023-11-27 00:00:00,2023,Q4,1,1.34112,180,35,A
2023-11-28 00:00:00,2023,Q4,2,1.34112,135,33.5,A
2023-11-29 00:00:00,2023,Q4,3,1.34112,225,41,B
2023-12-07 00:00:00,2023,Q4,4,1.78816,135,44,A
2023-12-15 00:00:00,2023,Q4,5,0.89408,180,50.5,A
2023-12-27 00:00:00,2023,Q4,6,2.68224,135,45,C
2024-05-16 00:00:00,2024,Q2,1,3.12928,90,57.5,B
2024-05-17 00:00:00,2024,Q2,2,1.78816,112.5,52,A
2024-05-20 00:00:00,2024,Q2,3,0.44704,135,56,A
2024-05-21 00:00:00,2024,Q2,4,1.78816,292.5,62.5,A
2024-05-22 00:00:00,2024,Q2,5,2.68224,292.5,66.17,A
2024-05-23 00:00:00,2024,Q2,6,3.12928,292.5,75.17,B
2024-05-25 00:00:00,2024,Q2,7,4.02336,108.33,52,B
2024-05-31 00:00:00,2024,Q2,8,1.34112,108.33,63,A
2024-06-10 00:00:00,2024,Q2,9,0.89408,108.33,57,A
2025-09-22 00:00:00,2025,Q3,163,2,35,82,C